date,company,open,close
2013-11-07,Tesla,9.612667,9.318
2013-11-08,Apple,18.377857,18.591429
2013-11-08,Google,504.879883,508.523529
2013-11-08,Meta,47.810001,47.529999
2013-11-08,Tesla,9.098667,9.196667
2013-11-11,Apple,18.571072,18.5375
2013-11-11,Google,505.260254,505.800812
2013-11-11,Meta,47.040001,46.200001
2013-11-11,Tesla,9.4,9.646667
2013-11-12,Apple,18.488214,18.571787
2013-11-12,Google,504.35434,506.396393
2013-11-12,Meta,46.0,46.610001
2013-11-12,Tesla,9.646,9.186667
2013-11-13,Apple,18.5,18.593929
2013-11-13,Google,503.878876,516.75177
2013-11-13,Meta,46.23,48.709999
2013-11-13,Tesla,9.389333,9.246667
2013-11-14,Apple,18.671785,18.862858
2013-11-14,Google,517.477478,518.133118
2013-11-14,Meta,48.700001,48.990002
2013-11-14,Tesla,9.261333,9.173333
2013-11-15,Apple,18.806429,18.749643
2013-11-15,Google,517.952942,517.297302
2013-11-15,Meta,49.110001,49.009998
2013-11-15,Tesla,9.123333,9.03
2013-11-18,Apple,18.749643,18.522499
2013-11-18,Google,518.393372,516.291321
2013-11-18,Meta,48.470001,45.830002
2013-11-18,Tesla,9.018,8.105333
2013-11-19,Apple,18.536785,18.555357
2013-11-19,Google,516.376404,513.113098
2013-11-19,Meta,46.259998,46.360001
2013-11-19,Tesla,7.962,8.406
2013-11-20,Apple,18.543928,18.392857
2013-11-20,Google,515.490479,511.666656
2013-11-20,Meta,46.610001,46.43
2013-11-20,Tesla,8.405333,8.074
2013-11-21,Apple,18.485714,18.612143
2013-11-21,Google,514.014038,517.552551
2013-11-21,Meta,46.990002,46.700001
2013-11-21,Tesla,8.192667,8.14
2013-11-22,Apple,18.554285,18.564285
2013-11-22,Google,517.227234,516.461487
2013-11-22,Meta,47.040001,46.23
2013-11-22,Tesla,8.105333,8.092
2013-11-25,Apple,18.607857,18.705
2013-11-25,Google,519.099121,523.488464
2013-11-25,Meta,46.360001,44.82
2013-11-25,Tesla,8.3,8.056
2013-11-26,Apple,18.718571,19.049999
2013-11-26,Google,524.824829,529.734741
2013-11-26,Meta,44.66,45.889999
2013-11-26,Tesla,7.958667,8.033333
2013-11-27,Apple,19.153929,19.498571
2013-11-27,Google,531.54657,532.087097
2013-11-27,Meta,45.970001,46.490002
2013-11-27,Tesla,8.087333,8.462667
2013-11-29,Apple,19.624287,19.859644
2013-11-29,Google,531.611633,530.325317
2013-11-29,Meta,46.75,47.009998
2013-11-29,Tesla,8.651333,8.485333
2013-12-02,Apple,19.928572,19.686787
2013-12-02,Google,532.287292,527.767761
2013-12-02,Meta,46.900002,47.060001
2013-12-02,Tesla,8.423333,8.278
2013-12-03,Apple,19.939285,20.225714
2013-12-03,Google,526.000977,527.157166
2013-12-03,Meta,46.75,46.73
2013-12-03,Tesla,8.845333,9.646667
2013-12-04,Apple,20.196428,20.178572
2013-12-04,Google,526.211182,529.619629
2013-12-04,Meta,46.459999,48.619999
2013-12-04,Tesla,9.621333,9.263333
2013-12-05,Apple,20.451786,20.282143
2013-12-05,Google,529.12915,529.199219
2013-12-05,Meta,48.150002,48.34
2013-12-05,Tesla,9.343333,9.365333
2013-12-06,Apple,20.206785,20.000713
2013-12-06,Google,535.43042,535.470459
2013-12-06,Meta,48.98,47.939999
2013-12-06,Tesla,9.434,9.157333
2013-12-09,Apple,20.032143,20.229643
2013-12-09,Google,536.031006,539.609619
2013-12-09,Meta,48.09,48.84
2013-12-09,Tesla,9.133333,9.44
2013-12-10,Apple,20.127857,20.198214
2013-12-10,Google,538.613586,542.872864
2013-12-10,Meta,48.639999,50.25
2013-12-10,Tesla,9.336667,9.479333
2013-12-11,Apple,20.25,20.048571
2013-12-11,Google,544.244263,539.184204
2013-12-11,Meta,50.549999,49.380001
2013-12-11,Tesla,9.458667,9.31
2013-12-12,Apple,20.076429,20.019285
2013-12-12,Google,540.325317,535.515503
2013-12-12,Meta,51.049999,51.830002
2013-12-12,Tesla,9.313333,9.831333
2013-12-13,Apple,20.101786,19.801071
2013-12-13,Google,538.23822,530.925903
2013-12-13,Meta,51.66,53.32
2013-12-13,Tesla,9.87,9.843333
2013-12-16,Apple,19.822144,19.910713
2013-12-16,Google,532.532532,537.027039
2013-12-16,Meta,53.25,53.810001
2013-12-16,Tesla,9.898667,9.862667
2013-12-17,Apple,19.850357,19.821072
2013-12-17,Google,536.94696,535.465454
2013-12-17,Meta,54.759998,54.860001
2013-12-17,Tesla,9.838667,10.164
2013-12-18,Apple,19.632143,19.670357
2013-12-18,Google,536.461487,542.917908
2013-12-18,Meta,54.860001,55.57
2013-12-18,Tesla,10.149333,9.865333
2013-12-19,Apple,19.625,19.445
2013-12-19,Google,540.925903,543.653625
2013-12-19,Meta,54.330002,55.049999
2013-12-19,Tesla,9.793333,9.381333
2013-12-20,Apple,19.479643,19.607857
2013-12-20,Google,544.694702,550.86084
2013-12-20,Meta,54.93,55.119999
2013-12-20,Tesla,9.438667,9.549333
2013-12-23,Apple,20.285713,20.360357
2013-12-23,Google,554.474487,558.108093
2013-12-23,Meta,55.5,57.77
2013-12-23,Tesla,9.656667,9.57
2013-12-24,Apple,20.353214,20.27393
2013-12-24,Google,558.04303,556.476501
2013-12-24,Meta,58.27,57.959999
2013-12-24,Tesla,10.0,10.094
2013-12-26,Apple,20.289286,20.139286
2013-12-26,Google,557.562561,559.289307
2013-12-26,Meta,58.32,57.73
2013-12-26,Tesla,10.336,10.366667
2013-12-27,Apple,20.136429,20.003214
2013-12-27,Google,560.560547,559.759766
2013-12-27,Meta,57.48,55.439999
2013-12-27,Tesla,10.353333,10.074667
2013-12-30,Apple,19.909286,19.804285
2013-12-30,Google,560.730713,555.285278
2013-12-30,Meta,54.93,53.709999
2013-12-30,Tesla,10.074667,10.162667
2013-12-31,Apple,19.791786,20.036428
2013-12-31,Google,556.676697,560.915894
2013-12-31,Meta,54.119999,54.650002
2013-12-31,Tesla,10.154667,10.028667
2014-01-02,Apple,19.845715,19.754642
2014-01-02,Google,558.288269,557.117126
2014-01-02,Meta,54.830002,54.709999
2014-01-02,Tesla,9.986667,10.006667
2014-01-03,Apple,19.745001,19.320715
2014-01-03,Google,558.058044,553.05304
2014-01-03,Meta,55.02,54.560001
2014-01-03,Tesla,10.0,9.970667
2014-01-06,Apple,19.194643,19.426071
2014-01-06,Google,557.062073,559.219238
2014-01-06,Meta,54.419998,57.200001
2014-01-06,Tesla,10.0,9.8
